상품명,제조사,평균가격,조사일
맥심 모카골드 제로슈거(50개입),동서식품,14150.11217948718,2025-07-04
맥심 슈프림골드 커피믹스(170개입),동서식품,35240.604026845635,2025-07-04
맥심 티오피 마스터 라떼(275ml),동서식품,2148.5698324022346,2025-07-04
맥심 화이트골드 커피믹스(250개입),동서식품,40143.89312977099,2025-07-04
머거본 알땅콩(135g),머거본,5000.0,2025-07-04
메디안 치석 치약 오리지널(3개),아모레퍼시픽,9618.515625,2025-07-04
메로나(75ml),빙그레,674.0183486238532,2025-07-04
메소드 주방세제 핑크(532ml),LG생활건강,7490.0,2025-07-04
모나리자 보타닉포레 프레스티지 3겹(30롤),모나리자,23900.0,2025-07-04
목초를 먹고 자란 건강한 닭이 낳은 달걀(대란 15개),풀무원,8783.370429252782,2025-07-04
몬스터 에너지(355ml),코카콜라음료,2374.4916201117317,2025-07-04
"몰리스 쉬야응가 3~4회용 패드(L, 35매)",이마트,22247.71784232365,2025-07-04
"몰리스픽 반려견 패드(L, 45매)",이마트,8500.0,2025-07-04
몽쉘 생크림케이크 오리지널(408g),롯데제과,5530.1716068642745,2025-07-04
"무(줄기 없는 무, 1.5kg)",일반,3567.3859649122805,2025-07-04
무균무때 세정제 욕실용(900ml),피죤,5955.850746268657,2025-07-04
물먹는하마(3개입),옥시레킷벤키저,4945.454545454545,2025-07-04
미닛메이드 오렌지(1.5L),코카콜라음료,4847.692307692308,2025-07-04
미쟝센 쉽고빠른거품염색 3N 흑갈색(80g),아모레퍼시픽,14291.772151898735,2025-07-04
미쟝센 퍼펙트 세럼 트리트먼트(330ml),아모레퍼시픽,11811.980738362761,2025-07-04
미쟝센 퍼펙트 오리지널 세럼 샴푸(680ml),아모레퍼시픽,11862.51968503937,2025-07-04
바로 먹는 그라브락스 연어(150g),선도씨푸드,11900.0,2025-07-04
바른고을 의성진쌀(10kg),의성군농협쌀조합공동사업법인,35900.0,2025-07-04
바리스타룰스 콜드브루 블랙(325ml),매일유업,3192.765273311897,2025-07-04
바세린 데일리 선크림(50ml),유니레버코리아,8360.583941605839,2025-07-04
바세린 립테라피 스틱 오리지널(4.8g),유니레버코리아,4066.9565217391305,2025-07-04
바이오 플레인 요거트(4개),매일유업,3980.0,2025-07-04
박카스맛 젤리(50g),동아제약,1474.1322314049587,2025-07-04
밥이보약 CAT 걱정없는 헤어볼(2kg),하림펫푸드,29781.615384615383,2025-07-04
밥이보약 DOG 튼튼한관절(2kg),하림펫푸드,27736.958174904943,2025-07-04
배추(1.5~2kg),일반,5770.685185185185,2025-07-04
백설 5가지 재료 부침가루(1kg),CJ제일제당,3966.7585139318885,2025-07-04
백설 갈색설탕(1kg),CJ제일제당,3173.434190620272,2025-07-04
백설 건강발효 사과식초(800ml),CJ제일제당,4564.245045045045,2025-07-04
